1,Pengembangan Sistem Informasi Manajemen Apotek UII Farma,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
2,Sistem Pendukung Keputusan Untuk Menentukan Harga Jual Beras  ,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
3,Sistem Informasi Pelayanan Rumah Sakit Muhammadiyah Rodliyah Achid Moga.,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
4,Aplikasi penjadwalan sholat menggunakan GPS pada perangkat iPhone,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
5,"Academic Information System (AIS) IHS. Modul Registrasi Mahasiswa Baru, Orientasi Mahasiswa Baru, dan Perkuliahan Persemester","SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
6,"Academic Information System (AIS) IHS. Modul Pendaftaran Mahasiswa Baru, Ujian Ulang dan Semester Pendek dan Perkuliahan Semester V (Study Off Campus)","SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
7,SISTEM PEMBAGIAN KELAS SISWA BARU  DENGAN ALGORITMA GENETIKA BERBASIS WEB,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
8,Mobile Education Untuk Aplikasi Pembelajaran Menggunakan J2ME dan Web Service,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
9,APLIKASI SHORT MESSAGE SERVICE (SMS) INFORMASI PENCARIAN DAN RESERVASI HOTEL BERBASIS DELPHI,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
10,Sistem Informasi Penjualan Koran ( Studi  Kasus : Lombok Pos ),"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
11,VIRTUAL MUSEUM BATIK BERBASIS WEB MULTIMEDIA,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
12,Sistem Prediksi Pemenang Piala Dunia 2010 dengan Metode Electre III berbasis WEB,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
13,Sistem Informasi Berbasis Web dan  SMS Untuk Registrasi Produk Makanan dan Minuman Penentu Label Halal ,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
14,Aplikasi Perhitungan Zakat Pada Perangkat Mobile Dengan Menggunakan J2ME,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
15,SISTEM INFORMASI BALAI LABORATORIUM KESEHATAN YOGYAKARTA BERBASIS SMS,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
16,Sistem Pendukung Keputusan Pemilihan Program Studi Perguruan Tinggi Swasta di Yogyakarta dengan metode SAW berbasis Web,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
17,Sistem Pendukung Keputusan Pemilihan Program Studi Perguruan Tinggi Swasta di Yogyakarta dengan metode SAW berbasis Web,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
18,Aplikasi Business Intelligent  studi kasus SMK Muhammadiyah Pakem,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
19,Sistem Prediksi Pemenang Piala Dunia 2010 dengan Metode Electre III berbasis WEB.,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
20,Optimalisasi Distribusi Pupuk di Kota Purwokerto,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
21,Sistem Informasi Pendaftaran Siswa baru berbasis WEB dan SMS SD Muhammadiyah Plus Mojokerto,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
22,Sistem Informasi Pelayanan Kesehatan Bagi Pasien Keluarga Tidak Mampu.,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
23,Sistem Informasi Pemeringkatan Siswa SMP dan Sistem Penerimaan Siswa SMA di Kabupaten Tuban Secara On line,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
24,Rancang Bangun Sistem Informasi Perencanaan Kapasitas Produksi di PT Unilever Indonesia dengan Menggunakan Rough Cut Capacity Planning ,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
25,Sistem Informasi Layanan SMS Menggunakan SMS Gateway dan Web Service,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
26,Sistem Informasi Orange Modelling Hobby Shop sebagai Media Informasi dan Media Penjualan Online.,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
27,Sistem Informasi Pelayanan Kesehatan Bagi Pasien Keluarga Tidak Mampu.,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
28,Sistem Informasi Evaluasi dan Penilaian Siswa Berbasis WEB Dengan Metode Pemrograman MVC di SMP Negeri 1 Solo,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
29,Sistem Informasi Pemeringkatan Siswa SMP dan Sistem Penerimaan Siswa SMA di Kabupaten Tuban Secara On line,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
30,Sistem Informasi Catalog Tourism Berbasis Web dengan Menggunakan Metode Data Mining pada Mesin Pencarian Data Base.,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
31,Optimalisasi Penjadwalan Bimbingan Belajar Privat (Studi Kasus di Lembaga Bimbel PRIVASI),"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
32,"PERANCANGAN DAN IMPLEMENTASI SISTEM ADMINISTRASI TERINTEGRASI DI PUSKESMAS (Studi Kasus Puskesmas Parakan, Kabupaten Temanggung)","SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
33,Aplikasi Sistem Pakar Untuk Mendiagnosa Penyakit Pencernaan Pada Manusia Serta Solusinya,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
34,SISTEM INFORMASI PERIKLANAN USAHA KECIL MENENGAH(UKM)  “IKLANKU INDONESIA” BERBASIS WEB ,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
35,Pamanaka - Sistem Informasi Papan Pengumuman Akademik Online UII,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
36,Sistem Pendukung Keputusan Penentuan Guru Berprestasi dengan metode TOPSIS (Studi Kasus Dinas Pendidikan Kab.Tuban),"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
37,Aplikasi Berbasis Multimedia pada Sistem Informasi Geografis Untuk Pariwisata di Kabupaten Batang,"SISTEM INFORMASI DAN REKAYASA PERANGKAT LUNAK",SIRPL
